game_id,start_date,home_team,away_team,neutral_site,conference_game,home_power_rating,away_power_rating,home_sp_rating,home_sp_offense,home_sp_defense,away_sp_rating,away_sp_offense,away_sp_defense,home_talent,away_talent,power_diff,sp_diff,talent_diff,home_sp_missing,away_sp_missing,home_talent_missing,away_talent_missing,predicted_margin,predicted_total,predicted_home_score,predicted_away_score,home_win_prob,vegas_spread,vegas_over_under,vegas_num_books,vegas_implied_margin,model_edge_vs_vegas,actual_home_points,actual_away_points,actual_margin,actual_total,actual_home_win,margin_error,abs_margin_error,home_score_error,away_score_error,win_correct
401858224,2026-09-12 16:00:00+00:00,Purdue,Wake Forest,0,0,60.0,60.0,1.2,26.2,25.6,1.6,23.8,22.2,698.33,680.87,0.0,-0.4000000000000001,17.460000000000036,0,0,0,0,3.9,45.6,25.0,21.0,0.578,3.0,49.75,2.0,-3.0,6.9,36.0,38.0,-2.0,74.0,0,5.9,5.9,-11.0,-17.0,0
401856683,2026-09-12 16:00:00+00:00,Texas A&M,Arizona State,0,0,60.0,60.0,23.9,38.8,14.6,8.7,29.7,20.5,933.0,722.0,0.0,15.2,211.0,0,0,0,0,24.6,52.0,38.0,14.0,0.961,-14.25,50.25,2.0,14.25,10.4,48.0,20.0,28.0,68.0,1,-3.3999999999999986,3.3999999999999986,-10.0,-6.0,1
401856673,2026-09-12 16:45:00+00:00,Georgia,Western Kentucky,0,0,60.0,-57.2,28.7,39.9,11.9,-13.1,22.0,35.6,1003.67,611.52,117.2,41.8,392.15,0,0,0,0,38.7,59.4,49.0,10.0,0.981,-40.75,55.5,2.0,40.75,-2.0,70.0,20.0,50.0,90.0,1,-11.299999999999997,11.299999999999997,-21.0,-10.0,1
401866415,2026-09-12 17:00:00+00:00,Central Michigan,Colgate,0,0,-57.2,0.0,-20.0,13.1,32.9,,,,540.01,,-57.2,,,0,1,0,1,13.8,48.6,31.0,17.0,0.854,-23.5,49.5,1.0,23.5,-9.7,13.0,10.0,3.0,23.0,1,10.8,10.8,18.0,7.0,1
401856791,2026-09-12 17:00:00+00:00,West Virginia,UT Martin,0,0,50.0,0.0,-4.4,24.1,28.6,,,,707.6,,50.0,,,0,1,0,1,26.3,51.9,39.0,13.0,0.96,-41.5,55.5,1.0,41.5,-15.2,52.0,7.0,45.0,59.0,1,-18.7,18.7,-13.0,6.0,1
401866417,2026-09-12 17:00:00+00:00,Miami (OH),Holy Cross,0,0,-19.0,0.0,-10.0,17.8,28.4,,,,621.37,,-19.0,,,0,1,0,1,24.2,45.6,35.0,11.0,0.909,-30.5,49.5,1.0,30.5,-6.3,45.0,7.0,38.0,52.0,1,-13.8,13.8,-10.0,4.0,1
401866413,2026-09-12 18:00:00+00:00,Ball State,Stony Brook,0,0,31.0,0.0,-25.0,12.6,36.9,,,,563.88,,31.0,,,0,1,0,1,12.7,51.3,32.0,19.0,0.79,-14.5,57.5,1.0,14.5,-1.8,41.0,17.0,24.0,58.0,1,-11.3,11.3,-9.0,2.0,1
401856677,2026-09-12 19:30:00+00:00,Minnesota,Mississippi State,0,0,60.0,60.0,9.6,27.9,17.8,9.4,33.5,24.7,728.79,804.53,0.0,0.1999999999999993,-75.74000000000001,0,0,0,0,6.2,52.0,29.0,23.0,0.67,-1.25,55.25,2.0,1.25,4.9,13.0,38.0,-25.0,51.0,0,31.2,31.2,16.0,-15.0,0
401856674,2026-09-12 19:30:00+00:00,Kentucky,Alabama,0,1,60.0,60.0,8.5,28.6,20.0,20.0,33.0,12.6,786.65,973.53,0.0,-11.5,-186.88,0,0,0,0,-9.8,53.8,22.0,32.0,0.218,10.5,49.25,2.0,-10.5,0.7,17.0,45.0,-28.0,62.0,0,18.2,18.2,5.0,-13.0,1
401856810,2026-09-12 19:30:00+00:00,BYU,Arizona,0,1,60.0,60.0,16.8,33.9,17.4,12.6,32.7,19.6,689.42,699.59,0.0,4.200000000000001,-10.170000000000073,0,0,0,0,9.6,51.0,30.0,21.0,0.814,-7.5,47.75,2.0,7.5,2.1,28.0,17.0,11.0,45.0,1,-1.4000000000000004,1.4000000000000004,2.0,4.0,1
401858216,2026-09-12 19:30:00+00:00,Syracuse,California,0,1,60.0,-35.0,2.7,25.7,23.4,-3.4,26.6,29.7,745.61,751.92,95.0,6.1,-6.309999999999945,0,0,0,0,9.5,49.8,30.0,20.0,0.72,-3.5,56.5,2.0,3.5,6.0,18.0,21.0,-3.0,39.0,0,12.5,12.5,12.0,-1.0,0
401856785,2026-09-12 19:30:00+00:00,Colorado,Weber State,0,0,92.8,0.0,2.1,25.7,23.1,,,,731.62,,92.8,,,0,1,0,1,34.3,51.1,43.0,8.0,0.962,-33.5,53.5,1.0,33.5,0.8,52.0,21.0,31.0,73.0,1,3.299999999999997,3.299999999999997,-9.0,-13.0,1
401862708,2026-09-12 19:30:00+00:00,UAB,UL Monroe,0,0,-57.2,-19.0,-16.0,21.8,37.4,-33.2,10.5,42.9,606.18,505.49,-38.2,17.200000000000003,100.68999999999994,0,0,0,0,14.1,55.0,35.0,20.0,0.87,-10.0,55.75,2.0,10.0,4.1,26.0,20.0,6.0,46.0,1,8.1,8.1,9.0,0.0,1
401866420,2026-09-12 19:30:00+00:00,Massachusetts,Sacred Heart,0,0,108.8,0.0,-25.8,12.6,37.9,,,,525.94,,108.8,,,0,1,0,1,7.3,53.2,30.0,23.0,0.671,-23.5,53.5,1.0,23.5,-16.2,37.0,10.0,27.0,47.0,1,-19.7,19.7,-7.0,13.0,1
401866412,2026-09-12 19:30:00+00:00,Akron,Robert Morris,0,0,-57.2,0.0,-21.4,12.8,33.6,,,,546.84,,-57.2,,,0,1,0,1,13.3,49.4,31.0,18.0,0.849,-27.5,41.5,1.0,27.5,-14.2,45.0,10.0,35.0,55.0,1,-21.7,21.7,-14.0,8.0,1
401860884,2026-09-12 19:30:00+00:00,Texas State,UTSA,0,0,23.0,60.0,-7.8,30.3,38.2,2.9,31.9,29.2,624.81,655.82,-37.0,-10.7,-31.010000000000105,0,0,0,0,-8.7,66.7,29.0,38.0,0.281,-1.5,66.25,2.0,1.5,-10.2,26.0,31.0,-5.0,57.0,0,-3.6999999999999993,3.6999999999999993,3.0,7.0,1
401859184,2026-09-12 19:30:00+00:00,Notre Dame,Rice,0,0,144.0,60.0,26.8,40.6,14.0,-10.4,18.8,29.7,953.03,589.89,84.0,37.2,363.14,0,0,0,0,35.9,51.1,43.0,8.0,0.979,-44.5,55.25,2.0,44.5,-8.6,52.0,0.0,52.0,52.0,1,-16.1,16.1,-9.0,8.0,1
401858446,2026-09-12 19:30:00+00:00,Washington,Utah State,0,0,96.0,-105.0,12.0,30.5,18.1,-11.5,20.9,32.0,777.63,543.98,201.0,23.5,233.65,0,0,0,0,29.5,53.3,41.0,12.0,0.952,-26.5,55.5,2.0,26.5,3.0,16.0,14.0,2.0,30.0,1,27.5,27.5,25.0,-2.0,1
401858444,2026-09-12 19:30:00+00:00,UConn,Maryland,0,0,60.0,60.0,-6.3,22.7,29.6,9.1,28.9,20.1,652.56,719.64,0.0,-15.4,-67.08000000000004,0,0,0,0,-9.2,49.5,20.0,29.0,0.175,12.25,52.5,2.0,-12.25,3.1,14.0,38.0,-24.0,52.0,0,14.8,14.8,6.0,-9.0,1
401858440,2026-09-12 19:30:00+00:00,Michigan State,Eastern Michigan,0,0,60.0,-15.0,1.0,26.9,25.5,-15.6,17.2,32.8,685.02,580.64,75.0,16.6,104.38,0,0,0,0,17.6,52.3,35.0,17.0,0.917,-17.5,49.75,2.0,17.5,0.1,35.0,7.0,28.0,42.0,1,-10.399999999999999,10.399999999999999,0.0,10.0,1
