game_id,start_date,home_team,away_team,neutral_site,conference_game,home_power_rating,away_power_rating,home_sp_rating,home_sp_offense,home_sp_defense,away_sp_rating,away_sp_offense,away_sp_defense,home_talent,away_talent,power_diff,sp_diff,talent_diff,home_sp_missing,away_sp_missing,home_talent_missing,away_talent_missing,predicted_margin,predicted_total,predicted_home_score,predicted_away_score,home_win_prob,vegas_spread,vegas_over_under,vegas_num_books,vegas_implied_margin,model_edge_vs_vegas,actual_home_points,actual_away_points,actual_margin,actual_total,actual_home_win,margin_error,abs_margin_error,home_score_error,away_score_error,win_correct
401856766,2026-08-29 16:00:00+00:00,TCU,North Carolina,1,0,0.0,0.0,9.4,31.4,21.8,3.5,24.3,21.2,730.79,767.89,0.0,5.9,-37.10000000000002,0,0,0,0,12.6,48.2,30.0,18.0,0.821,-8.75,46.5,2,8.75,3.9,10.0,15.0,-5.0,25.0,0,17.6,17.6,20.0,3.0,0
401864494,2026-08-29 19:00:00+00:00,USC,San José State,0,0,0.0,0.0,17.7,38.0,19.9,-15.7,18.3,33.5,899.0,569.25,0.0,33.4,329.75,0,0,0,0,36.0,56.4,46.0,10.0,0.982,-38.5,61.5,2,38.5,-2.5,42.0,26.0,16.0,68.0,1,20.0,20.0,4.0,-16.0,1
401858202,2026-08-29 19:30:00+00:00,Virginia,NC State,0,1,0.0,0.0,8.1,26.9,18.9,5.7,31.0,24.9,700.18,757.14,0.0,2.3999999999999995,-56.96000000000004,0,0,0,0,8.4,50.1,29.0,21.0,0.681,-4.0,51.5,2,4.0,4.4,34.0,8.0,26.0,42.0,1,-17.6,17.6,-5.0,13.0,1
401864577,2026-08-29 21:30:00+00:00,North Dakota State,Jacksonville State,0,0,0.0,0.0,-1.8,24.1,25.9,-7.8,24.8,32.0,515.59,602.83,0.0,6.0,-87.24000000000001,0,0,0,0,9.9,53.5,32.0,22.0,0.84,-6.5,46.5,2,6.5,3.4,33.0,7.0,26.0,40.0,1,-16.1,16.1,-1.0,15.0,1
401866408,2026-08-29 22:30:00+00:00,Eastern Michigan,Sacramento State,0,1,0.0,0.0,-16.1,17.2,33.4,-23.4,14.7,38.2,580.64,561.42,0.0,7.299999999999997,19.220000000000027,0,0,0,0,8.2,45.1,27.0,18.0,0.697,-9.25,53.25,2,9.25,-1.1,28.0,17.0,11.0,45.0,1,-2.8000000000000007,2.8000000000000007,-1.0,1.0,1
401858201,2026-08-29 23:00:00+00:00,Stanford,Hawai'i,0,0,0.0,0.0,-2.3,22.5,24.2,-2.6,25.9,29.1,705.81,556.82,0.0,0.3000000000000002,148.9899999999999,0,0,0,0,4.2,50.7,27.0,23.0,0.619,-4.0,48.5,2,4.0,0.2,37.0,27.0,10.0,64.0,1,-5.8,5.8,-10.0,-4.0,1
401864570,2026-08-29 23:00:00+00:00,Florida State,New Mexico State,0,0,0.0,0.0,9.1,29.8,20.4,-18.5,15.9,34.4,800.2,460.38,0.0,27.6,339.82000000000005,0,0,0,0,34.1,52.9,43.0,9.0,0.969,-31.25,53.5,2,31.25,2.8,34.0,17.0,17.0,51.0,1,17.1,17.1,9.0,-8.0,1
401862693,2026-08-30 02:00:00+00:00,UNLV,Memphis,0,0,0.0,0.0,3.6,31.4,28.0,0.3,29.0,29.2,696.03,670.31,0.0,3.3000000000000003,25.720000000000027,0,0,0,0,5.8,56.6,31.0,25.0,0.693,-4.25,56.5,2,4.25,1.6,21.0,27.0,-6.0,48.0,0,11.8,11.8,10.0,-2.0,0
401858423,2026-09-03 22:00:00+00:00,Rutgers,Massachusetts,0,0,0.0,0.0,2.7,30.8,28.2,-32.9,8.8,41.2,709.04,525.94,0.0,35.6,183.0999999999999,0,0,0,0,33.3,54.6,44.0,11.0,0.966,-29.25,52.75,2,29.25,4.0,21.0,37.0,-16.0,58.0,0,49.3,49.3,23.0,-26.0,0
401864424,2026-09-03 23:00:00+00:00,Delaware,Merrimack,0,0,0.0,0.0,-12.9,22.8,35.4,,,,483.48,,0.0,,,0,1,0,1,22.0,56.3,39.0,17.0,0.921,-28.5,55.5,1,28.5,-6.5,42.0,7.0,35.0,49.0,1,-13.0,13.0,-3.0,10.0,1
401858204,2026-09-03 23:00:00+00:00,Wake Forest,Akron,0,0,0.0,0.0,3.4,24.2,20.7,-22.9,11.3,33.6,680.87,546.84,0.0,26.3,134.02999999999997,0,0,0,0,27.6,48.7,38.0,11.0,0.971,-24.25,48.5,2,24.25,3.4,38.0,16.0,22.0,54.0,1,5.600000000000001,5.600000000000001,0.0,-5.0,1
401856767,2026-09-03 23:00:00+00:00,UCF,Bethune-Cookman,0,0,0.0,0.0,1.7,24.2,22.3,,,,672.14,,0.0,,,0,1,0,1,30.5,49.6,40.0,10.0,0.969,-42.5,59.5,1,42.5,-12.0,73.0,6.0,67.0,79.0,1,-36.5,36.5,-33.0,4.0,1
401864425,2026-09-03 23:00:00+00:00,Kennesaw State,West Georgia,0,0,0.0,0.0,-12.9,19.5,31.8,,,,502.86,,0.0,,,0,1,0,1,21.3,46.7,34.0,13.0,0.927,-22.5,51.5,1,22.5,-1.2,47.0,0.0,47.0,47.0,1,-25.7,25.7,-13.0,13.0,1
401866409,2026-09-03 23:00:00+00:00,Buffalo,UAlbany,0,0,0.0,0.0,-12.7,15.3,28.5,,,,549.31,,0.0,,,0,1,0,1,24.5,44.7,35.0,10.0,0.899,-24.5,48.5,1,24.5,0.0,21.0,17.0,4.0,38.0,1,20.5,20.5,14.0,-7.0,1
401858422,2026-09-04 00:00:00+00:00,Minnesota,Eastern Illinois,0,0,0.0,0.0,6.2,25.7,19.0,,,,728.79,,0.0,,,0,1,0,1,35.8,49.9,43.0,7.0,0.971,-43.5,51.5,1,43.5,-7.7,59.0,7.0,52.0,66.0,1,-16.200000000000003,16.200000000000003,-16.0,0.0,1
401856663,2026-09-04 00:00:00+00:00,Missouri,Arkansas-Pine Bluff,0,0,0.0,0.0,15.4,32.3,16.4,,,,808.36,,0.0,,,0,1,0,1,37.9,55.4,47.0,9.0,0.976,-54.5,60.5,1,54.5,-16.6,54.0,14.0,40.0,68.0,1,-2.1000000000000014,2.1000000000000014,-7.0,-5.0,1
401856776,2026-09-04 00:00:00+00:00,Georgia Tech,Colorado,0,0,0.0,0.0,5.9,28.7,23.4,0.7,26.1,25.0,751.65,731.62,0.0,5.2,20.029999999999973,0,0,0,0,9.1,50.0,30.0,20.0,0.771,-6.5,50.75,2,6.5,2.6,13.0,14.0,-1.0,27.0,0,10.1,10.1,17.0,6.0,0
401856768,2026-09-04 01:00:00+00:00,Utah,Idaho,0,0,0.0,0.0,9.8,31.9,22.1,,,,695.72,,0.0,,,0,1,0,1,36.2,57.2,47.0,11.0,0.972,-33.5,56.5,1,33.5,2.7,66.0,14.0,52.0,80.0,1,-15.799999999999997,15.799999999999997,-19.0,-3.0,1
401858424,2026-09-04 01:00:00+00:00,Illinois,UAB,0,0,0.0,0.0,10.4,32.0,22.1,-17.5,20.6,37.6,704.01,606.18,0.0,27.9,97.83000000000004,0,0,0,0,29.6,57.9,44.0,14.0,0.96,-28.5,56.75,2,28.5,1.1,42.0,23.0,19.0,65.0,1,10.600000000000001,10.600000000000001,2.0,-9.0,1
401864495,2026-09-04 22:30:00+00:00,Eastern Michigan,San José State,0,0,0.0,0.0,-16.1,17.2,33.4,-15.7,18.3,33.5,580.64,569.25,0.0,-0.4000000000000021,11.389999999999986,0,0,0,0,2.0,50.5,26.0,24.0,0.518,-4.5,53.5,2,4.5,-2.5,21.0,27.0,-6.0,48.0,0,8.0,8.0,5.0,-3.0,0
401858435,2026-09-04 23:00:00+00:00,Purdue,Indiana State,0,0,0.0,0.0,-2.2,24.2,27.0,,,,698.33,,0.0,,,0,1,0,1,27.5,51.3,39.0,12.0,0.966,-35.5,56.5,1,35.5,-8.0,44.0,19.0,25.0,63.0,1,2.5,2.5,-5.0,-7.0,1
401866623,2026-09-04 23:00:00+00:00,Georgia State,North Carolina A&T,0,0,0.0,0.0,-29.3,14.8,43.4,,,,573.83,,0.0,,,0,1,0,1,9.9,51.4,31.0,21.0,0.791,-28.5,63.5,1,28.5,-18.6,59.0,10.0,49.0,69.0,1,-39.1,39.1,-28.0,11.0,1
401856769,2026-09-05 00:00:00+00:00,Kansas,Long Island University,0,0,0.0,0.0,3.3,28.8,26.1,,,,684.51,,0.0,,,0,1,0,1,35.8,56.9,46.0,11.0,0.968,-38.5,53.5,1,38.5,-2.7,51.0,6.0,45.0,57.0,1,-9.200000000000003,9.200000000000003,-5.0,5.0,1
401856664,2026-09-05 00:00:00+00:00,Oklahoma,UTEP,0,0,0.0,0.0,18.8,32.1,13.7,-19.3,15.2,34.1,851.14,585.76,0.0,38.1,265.38,0,0,0,0,34.0,51.5,43.0,9.0,0.976,-41.0,50.5,2,41.0,-7.0,51.0,0.0,51.0,51.0,1,-17.0,17.0,-8.0,9.0,1
401858429,2026-09-05 00:00:00+00:00,Michigan State,Toledo,0,0,0.0,0.0,2.2,27.7,25.1,-9.1,17.9,26.6,685.02,556.26,0.0,11.3,128.76,0,0,0,0,17.0,46.6,32.0,15.0,0.933,-10.0,49.5,2,10.0,7.0,30.0,20.0,10.0,50.0,1,7.0,7.0,2.0,-5.0,1
401858206,2026-09-05 01:00:00+00:00,Stanford,Miami,0,1,0.0,0.0,-2.3,22.5,24.2,22.0,35.0,13.3,705.81,885.94,0.0,-24.3,-180.1300000000001,0,0,0,0,-16.9,49.8,16.0,33.0,0.053,24.5,47.5,2,-24.5,7.6,6.0,45.0,-39.0,51.0,0,22.1,22.1,10.0,-12.0,1
